Date,asset,exog,value
2009-08-21,AUD,eqy_z,0.455327392790396
2009-08-28,AUD,eqy_z,0.42741740830382813
2009-09-04,AUD,eqy_z,0.7586765319606161
2009-09-11,AUD,eqy_z,0.7594311524376507
2009-09-18,AUD,eqy_z,1.2106491683925358
2009-09-25,AUD,eqy_z,1.1345121137698073
2009-10-02,AUD,eqy_z,1.1678126851241561
2009-10-09,AUD,eqy_z,0.08394835113833271
2009-10-16,AUD,eqy_z,0.712421494788396
2009-10-23,AUD,eqy_z,0.7099117859191015
2009-10-30,AUD,eqy_z,0.5430154022763023
2009-11-06,AUD,eqy_z,-0.4325418529133559
2009-11-13,AUD,eqy_z,-0.5135585349281967
2009-11-20,AUD,eqy_z,-1.0587115058811527
2009-11-27,AUD,eqy_z,-1.8147796077668217
2009-12-04,AUD,eqy_z,-0.691216250550131
2009-12-11,AUD,eqy_z,-0.7805273587772101
2009-12-18,AUD,eqy_z,-0.810644279632655
2009-12-25,AUD,eqy_z,-1.1148397524508868
2010-01-01,AUD,eqy_z,0.45612415126066325
2010-01-08,AUD,eqy_z,0.0766254344991546
2010-01-15,AUD,eqy_z,0.26370159621717165
2010-01-22,AUD,eqy_z,1.1462039714684364
2010-01-29,AUD,eqy_z,0.6683139313542428
2010-02-05,AUD,eqy_z,0.721102770396048
2010-02-12,AUD,eqy_z,0.5085714543521116
2010-02-19,AUD,eqy_z,0.11989767962259124
2010-02-26,AUD,eqy_z,-0.21550381019225462
2010-03-05,AUD,eqy_z,0.00459659481925645
2010-03-12,AUD,eqy_z,-0.2941018213603032
2010-03-19,AUD,eqy_z,-0.8549144697190681
2010-03-26,AUD,eqy_z,-0.3567851612949109
2010-04-02,AUD,eqy_z,-0.4025485492730987
2010-04-09,AUD,eqy_z,-0.37492710399516094
2010-04-16,AUD,eqy_z,0.47565943137659916
2010-04-23,AUD,eqy_z,-0.46982879878024564
2010-04-30,AUD,eqy_z,-0.3287021480538783
2010-05-07,AUD,eqy_z,0.16164614353952822
2010-05-14,AUD,eqy_z,-0.02875092481488961
2010-05-21,AUD,eqy_z,-0.5008056278718498
2010-05-28,AUD,eqy_z,-0.09136325761100861
2010-06-04,AUD,eqy_z,0.6444891453250703
2010-06-11,AUD,eqy_z,-0.20208931041656863
2010-06-18,AUD,eqy_z,0.33064522484387937
2010-06-25,AUD,eqy_z,0.6581933672730655
2010-07-02,AUD,eqy_z,0.26008375400464645
2010-07-09,AUD,eqy_z,-0.027369178268704664
2010-07-16,AUD,eqy_z,0.9803361948324052
2010-07-23,AUD,eqy_z,0.024286690607186356
2010-07-30,AUD,eqy_z,-0.13145789455704304
2010-08-06,AUD,eqy_z,0.28283245221988024
2010-08-13,AUD,eqy_z,0.3006916504405158
2010-08-20,AUD,eqy_z,0.2632479477883856
2010-08-27,AUD,eqy_z,0.019486438273635165
2010-09-03,AUD,eqy_z,0.39661272083801097
2010-09-10,AUD,eqy_z,7.125938999584802e-4
2010-09-17,AUD,eqy_z,0.5814035982718793
2010-09-24,AUD,eqy_z,-0.16758520972128854
2010-10-01,AUD,eqy_z,-0.19459219853682203
2010-10-08,AUD,eqy_z,-0.12147575415845191
2010-10-15,AUD,eqy_z,-0.6651774231049001
2010-10-22,AUD,eqy_z,-0.48561347636803665
2010-10-29,AUD,eqy_z,-0.46033396544947736
2010-11-05,AUD,eqy_z,-0.5604699269023959
2010-11-12,AUD,eqy_z,-0.45693819915309575
2010-11-19,AUD,eqy_z,-0.5239474597860951
2010-11-26,AUD,eqy_z,-0.3521820107921518
2010-12-03,AUD,eqy_z,-0.6381036226717935
2010-12-10,AUD,eqy_z,-0.5012281078447136
2010-12-17,AUD,eqy_z,-0.12143836132896157
2010-12-24,AUD,eqy_z,-0.38614128407458304
2010-12-31,AUD,eqy_z,-0.9826435114159143
2011-01-07,AUD,eqy_z,-1.2160073722062295
2011-01-14,AUD,eqy_z,-0.25761186873141007
2011-01-21,AUD,eqy_z,-0.39243868289444245
2011-01-28,AUD,eqy_z,0.01604553096242803
2011-02-04,AUD,eqy_z,-0.10443234739956851
2011-02-11,AUD,eqy_z,-0.5105478256580868
2011-02-18,AUD,eqy_z,-0.05545890738474407
2011-02-25,AUD,eqy_z,0.11772077960946231
2011-03-04,AUD,eqy_z,1.2825404012251256
2011-03-11,AUD,eqy_z,-0.42326861477866773
2011-03-18,AUD,eqy_z,0.2722426766549415
2011-03-25,AUD,eqy_z,-0.033162730956419084
2011-04-01,AUD,eqy_z,0.6528266047663752
2011-04-08,AUD,eqy_z,1.4096504813084227
