Date,asset,spd,carry,endo
2007-01-05,AUD,NA,0.0011848532524523594,NA
2007-01-12,AUD,0.006400431475878515,0.0011863539732150127,0.007586785449093528
2007-01-19,AUD,0.00788006111155462,0.0011848532524523594,0.00906491436400698
2007-01-26,AUD,-0.02098068515725271,0.0011809291278647729,-0.019799756029387938
2007-02-02,AUD,0.0019373593402262634,0.0011836417418280673,0.0031210010820543308
2007-02-09,AUD,0.0018048219415081612,0.001181164236219109,0.00298598617772727
2007-02-16,AUD,0.01368745385354933,0.0011755570231184093,0.01486301087666774
2007-02-23,AUD,0.005827227028983528,0.0011720109736028988,0.006999238002586427
2007-03-02,AUD,-0.012072069855974282,0.0011691519474021968,-0.010902917908572085
2007-03-09,AUD,-0.0026883457271462963,0.0011791205059602907,-0.0015092252211860056
2007-03-16,AUD,0.020177069250115615,0.0011785236234019597,0.021355592873517574
2007-03-23,AUD,0.011243091574180353,0.001200812750442054,0.012443904324622408
2007-03-30,AUD,0.0044620797881070595,0.0012041367320745114,0.005666216520181571
2007-04-06,AUD,0.009600073729019248,0.0011869686924871768,0.010787042421506425
2007-04-13,AUD,0.020609288052663377,0.001194199208879609,0.021803487261542985
2007-04-20,AUD,0.004907544710868406,0.0011966027534641664,0.006104147464332572
2007-04-27,AUD,-0.00911605209481925,0.0011809291278647729,-0.007935122966954476
2007-05-04,AUD,-0.010173274127079496,0.0011812365766730622,-0.008992037550406434
2007-05-11,AUD,0.011979089341214333,0.0011790481575460559,0.01315813749876039
2007-05-18,AUD,-0.010154826141467344,0.001170454847499111,-0.008984371293968233
2007-05-25,AUD,-0.0060938640743227745,0.0011699481746173246,-0.00492391589970545
2007-06-01,AUD,0.018291346378116524,0.001169242429427973,0.019460588807544497
2007-06-08,AUD,0.014064594177935597,0.001186661335307207,0.015251255513242804
2007-06-15,AUD,-0.0032007614309717825,0.0011800248381748759,-0.0020207365927969066
2007-06-22,AUD,0.006037307476591147,0.0011818333750343102,0.007219140851625457
2007-06-29,AUD,0.002475394674752357,0.0011821408093864929,0.0036575354841388496
2007-07-06,AUD,0.01030695467825346,0.0011827375796873729,0.011489692257940833
2007-07-13,AUD,0.015034399061326392,0.0011830449995850405,0.016217444060911433
2007-07-20,AUD,0.010391186848109718,0.0011839491472721458,0.011575135995381864
2007-07-27,AUD,-0.03279360941806561,0.00120774910405462,-0.03158586031401099
2007-08-03,AUD,0.0033983743961977786,0.0012137621983476933,0.004612136594545472
2007-08-10,AUD,-0.012122787197137774,0.001250143724272052,-0.010872643472865722
2007-08-17,AUD,-0.057012149330771006,0.0012643745683688656,-0.05574777476240214
2007-08-24,AUD,0.036434799279053465,0.0012517835101637988,0.037686582789217264
2007-08-31,AUD,-0.010571822137834641,0.0012472422220488758,-0.009324579915785766
2007-09-07,AUD,0.009725338019329371,0.0012485939079856909,0.010973931927315063
2007-09-14,AUD,0.018459112164694702,0.0012906469263592206,0.019749759091053923
2007-09-21,AUD,0.028912881897972614,0.0012609529219730522,0.030173834819945667
2007-09-28,AUD,0.02416622789798184,0.0012597461961946887,0.025425974094176528
2007-10-05,AUD,0.010753996324152762,0.0012507383880619577,0.012004734712214719
2007-10-12,AUD,0.007879736681308841,0.0012486299516435218,0.009128366632952363
2007-10-19,AUD,-0.015822057082407706,0.00123932844753881,-0.014582728634868897
2007-10-26,AUD,0.030962225603966928,0.0012615472516144437,0.032223772855581374
2007-11-02,AUD,0.005321183213280262,0.0012675435503801359,0.0065887267636603975
2007-11-09,AUD,-0.012643220187725193,0.0012825531075861543,-0.01136066708013904
2007-11-16,AUD,-0.020836396067686266,0.0012813477364953577,-0.01955504833119091
2007-11-23,AUD,-0.017055815269037114,0.0012768314207532395,-0.015778983848283874
2007-11-30,AUD,0.007490671729157544,0.0011933859114889773,0.008684057640646522
2007-12-07,AUD,-0.009429209310973075,0.0012662832223514777,-0.008162926088621597
2007-12-14,AUD,-0.017734228016889314,0.0013678165467905356,-0.016366411470098777
2007-12-21,AUD,0.007754219745836982,0.001323580594804881,0.009077800340641862
2007-12-28,AUD,0.010208266660539145,0.0013250705290075188,0.011533337189546664
2008-01-04,AUD,-0.004689742653138901,0.001294836387697731,-0.0033949062654411695
2008-01-11,AUD,0.021213432317932088,0.0012993305031236179,0.022512762821055705
2008-01-18,AUD,-0.013219784637186524,0.0012951420208292947,-0.01192464261635723
2008-01-25,AUD,5.685371692172869e-4,0.0013241729921072646,0.0018927101613245515
2008-02-01,AUD,0.027580223487805575,0.0013376316491710977,0.028917855136976672
2008-02-08,AUD,-0.009667279021834743,0.0013469036688456414,-0.008320375352989101
2008-02-15,AUD,0.014961214403212839,0.001362173923022366,0.016323388326235203
2008-02-22,AUD,0.01636519176618223,0.0013531781280877494,0.01771836989426998
2008-02-29,AUD,0.007331569228449367,0.0013777005822068718,0.008709269810656239
2008-03-07,AUD,-0.004414067564223051,0.0013892613208846894,-0.0030248062433383613
2008-03-14,AUD,0.011372292930384664,0.001415810382127213,0.012788103312511878
2008-03-21,AUD,-0.03838470682601268,0.001406571533998553,-0.036978135292014123
2008-03-28,AUD,0.01692720126613223,0.0014172931880640429,0.018344494454196274
2008-04-04,AUD,0.0058683063428057874,0.001418793742734099,0.007287100085539886
2008-04-11,AUD,0.0054030820876024704,0.0014175968811976608,0.006820678968800131
2008-04-18,AUD,0.0074086343055692755,0.001415810382127213,0.008824444687696489
2008-04-25,AUD,-0.001498769148987611,0.0014068753964946998,-9.189375249291109e-5
2008-05-02,AUD,0.0013917886728224832,0.0014062855413805502,0.002798074214203033
