Date,Asset,y_hat
2014-02-21,AUD,-0.005468483640425853
2014-02-28,AUD,0.010555235458396565
2014-03-07,AUD,0.0030154052988176855
2014-03-14,AUD,0.00902888865224899
2014-03-21,AUD,-0.01566888330406607
2014-03-28,AUD,0.02426637880600223
2014-04-04,AUD,7.313671563469702e-4
2014-04-11,AUD,0.02232866907629533
2014-04-18,AUD,0.008203698252007462
2014-04-25,AUD,-0.008289671846106815
2014-05-02,AUD,-0.018051509793852335
2014-05-09,AUD,0.016377589289498784
2014-05-16,AUD,0.005782347746903819
2014-05-23,AUD,-0.027347456606244075
2014-05-30,AUD,4.5227695663886463e-4
2014-06-06,AUD,0.005173311561272509
2014-06-13,AUD,-0.027284537873078517
2014-06-20,AUD,0.021044018254510213
2014-06-27,AUD,-0.024320860531879186
2014-07-04,AUD,0.01800553214593658
2014-07-11,AUD,0.018533327099309764
2014-07-18,AUD,0.05330968018177779
2014-07-25,AUD,-0.022950360816559472
2014-08-01,AUD,0.011201455387032273
2014-08-08,AUD,0.011904831853325507
2014-08-15,AUD,0.003940447010573631
2014-08-22,AUD,-0.03908122129952814
2014-08-29,AUD,-0.010934000299509031
2014-09-05,AUD,-0.005217054803413384
2014-09-12,AUD,-0.00860200351923291
2014-09-19,AUD,-0.02567732994997322
2014-09-26,AUD,0.017082433376060142
2014-10-03,AUD,0.004644419099087419
2014-10-10,AUD,0.010896976707568003
2014-10-17,AUD,-0.001071095457720661
2014-10-24,AUD,0.031879859365707114
2014-10-31,AUD,0.008054919875745317
2014-11-07,AUD,-0.015355580470009882
2014-11-14,AUD,-0.012691794497830035
2014-11-21,AUD,-0.01667821250920565
2014-11-28,AUD,-0.02868244941041171
2014-12-05,AUD,-0.03139041340750542
2014-12-12,AUD,-0.025917021051961867
2014-12-19,AUD,0.018041460091136392
2014-12-26,AUD,-0.0020278399432021154
2015-01-02,AUD,0.001899265704988828
2015-01-09,AUD,-9.876940448299797e-4
2015-01-16,AUD,0.018180462692655948
2015-01-23,AUD,0.008543594300179234
2015-01-30,AUD,9.968770704486762e-4
2015-02-06,AUD,-0.0030111912348374822
2015-02-13,AUD,-0.012733005737668678
2015-02-20,AUD,0.011858296452892337
2015-02-27,AUD,0.005893606397910545
2015-03-06,AUD,-0.010334580518390786
2015-03-13,AUD,0.011484009582600386
2015-03-20,AUD,0.006181400312748915
2015-03-27,AUD,-0.014830761136940599
2015-04-03,AUD,-0.0028586396308580356
2015-04-10,AUD,-0.036948914995318195
2015-04-17,AUD,0.01092959464534855
2015-04-24,AUD,0.01525844396853843
2015-05-01,AUD,-0.009738220192534296
2015-05-08,AUD,0.004255910508160968
2015-05-15,AUD,0.014617104009291506
2015-05-22,AUD,-0.025667350868340263
2015-05-29,AUD,0.02380879357009514
2015-06-05,AUD,-0.013227623165602605
2015-06-12,AUD,0.016715138836255423
2015-06-19,AUD,-0.01276262044297266
2015-06-26,AUD,-0.002575451902343418
2015-07-03,AUD,0.04358578209226962
2015-07-10,AUD,-0.009749527243688676
2015-07-17,AUD,-0.022363159770735094
2015-07-24,AUD,-0.03253036421888565
2015-07-31,AUD,0.0037003817629919743
2015-08-07,AUD,0.046975752087636116
2015-08-14,AUD,0.010537626216261246
2015-08-21,AUD,0.01094553820572315
2015-08-28,AUD,-0.0043988595459062765
2015-09-04,AUD,0.016022503539725973
2015-09-11,AUD,0.030874158217310096
2015-09-18,AUD,-0.012693141106759256
2015-09-25,AUD,-0.016566891522098108
2015-10-02,AUD,-0.014866348590525848
2015-10-09,AUD,0.00992910123605423
2015-10-16,AUD,-0.018017039657199405
2015-10-23,AUD,6.513782040825381e-4
2015-10-30,AUD,0.015902577907057326
2015-11-06,AUD,-0.005003779302554684
2015-11-13,AUD,0.008009487598724958
2015-11-20,AUD,-0.016254933970975535
2015-11-27,AUD,0.0013358609737809408
2015-12-04,AUD,-0.013658161320751025
2015-12-11,AUD,0.007303567980630112
2015-12-18,AUD,0.002603565598975645
2015-12-25,AUD,-0.011549796579104158
2016-01-01,AUD,-0.005866264519437156
2016-01-08,AUD,0.03048574343490894
2016-01-15,AUD,-0.009941861005957963
2016-01-22,AUD,-0.003596704480728005
2016-01-29,AUD,0.020158875034956666
2016-02-05,AUD,0.040010300829151524
2016-02-12,AUD,0.026923838606177697
2016-02-19,AUD,0.026116610865714585
2016-02-26,AUD,0.020713287412546473
2016-03-04,AUD,-0.012910583788669078
2016-03-11,AUD,0.055178981054794726
2016-03-18,AUD,-0.026533239309786433
2016-03-25,AUD,-0.006816361895357007
2016-04-01,AUD,0.009043479201033105
2016-04-08,AUD,0.02919868417240667
2016-04-15,AUD,-0.010253625493877023
2016-04-22,AUD,0.019745501175071022
2016-04-29,AUD,-7.138612603072034e-4
2016-05-06,AUD,0.007432360889771106
2016-05-13,AUD,0.003008104521155094
2016-05-20,AUD,0.025247487842015463
2016-05-27,AUD,-0.008074613120770754
2016-06-03,AUD,0.0068078082915436445
2016-06-10,AUD,-0.04244852335382013
2016-06-17,AUD,0.01944370083674131
2016-06-24,AUD,-0.009757417021303779
2016-07-01,AUD,0.004224978116639208
2016-07-08,AUD,-0.02529342756120417
2016-07-15,AUD,-0.0213699809005378
2016-07-22,AUD,-0.022580446390351984
2016-07-29,AUD,-0.0185496442261282
2016-08-05,AUD,0.017521140658262664
2016-08-12,AUD,0.0010397438332828569
2016-08-19,AUD,-0.025613588622127738
2016-08-26,AUD,-0.017897106857177086
2016-09-02,AUD,0.0061600306733606515
2016-09-09,AUD,-0.004599539354942089
2016-09-16,AUD,0.02244192756327469
2016-09-23,AUD,-0.007388995039571574
2016-09-30,AUD,-0.007661106409074866
2016-10-07,AUD,0.0106376441327876
2016-10-14,AUD,-0.003765814811395903
2016-10-21,AUD,0.016754295824725055
2016-10-28,AUD,8.342425855548605e-4
2016-11-04,AUD,-0.015723235021454927
2016-11-11,AUD,0.02876796451431105
2016-11-18,AUD,0.003997099165279345
2016-11-25,AUD,0.019303431031986097
2016-12-02,AUD,-0.032105810309128256
2016-12-09,AUD,0.007696425921309062
2016-12-16,AUD,-0.030856566037101043
2016-12-23,AUD,0.0381165551626751
2016-12-30,AUD,-0.02690836436523557
2017-01-06,AUD,0.007450541724446529
2017-01-13,AUD,0.01513476113773159
2017-01-20,AUD,-0.01940120080370279
2017-01-27,AUD,-0.01532823494078085
2017-02-03,AUD,-0.036885173649218755
2017-02-10,AUD,-0.006375353266039068
2017-02-17,AUD,-0.01976163726164256
2017-02-24,AUD,0.02789723366284538
2017-03-03,AUD,0.014673138936402274
2017-03-10,AUD,0.03297144836192002
2017-03-17,AUD,0.0050078542831806586
2017-03-24,AUD,-0.005357952633190933
2017-03-31,AUD,1.7872714758169692e-4
2017-04-07,AUD,0.0030283546209912875
2017-04-14,AUD,0.0018912236820157972
2017-04-21,AUD,0.016093859633509774
2017-04-28,AUD,0.021332049346594918
2017-05-05,AUD,-0.019201812110343712
2017-05-12,AUD,0.012911135666332538
2017-05-19,AUD,0.01808995254635893
2017-05-26,AUD,0.0010100701767346834
2017-06-02,AUD,0.013774207418602103
2017-06-09,AUD,0.005579025182829427
2017-06-16,AUD,0.007635549068416158
2017-06-23,AUD,-0.011546685020761107
2017-06-30,AUD,-0.00883279096752626
2017-07-07,AUD,0.019200748242397845
2017-07-14,AUD,0.020781872053212948
2017-07-21,AUD,-0.006892132337487068
2017-07-28,AUD,0.023964238716045375
2017-08-04,AUD,-0.027866341148358446
2008-12-26,CAD,-0.002100733264784287
2009-01-02,CAD,-0.0026404590190982615
2009-01-09,CAD,0.01997072150531023
2009-01-16,CAD,0.009781256242385737
2009-01-23,CAD,0.03646127650133262
2009-01-30,CAD,-0.032830724078170614
2009-02-06,CAD,-0.04462455548095298
2009-02-13,CAD,-0.005644190582629389
2009-02-20,CAD,-0.05067637432092473
2009-02-27,CAD,0.003645968751917284
2009-03-06,CAD,0.01638227742164101
2009-03-13,CAD,-0.029736623993116877
2009-03-20,CAD,-0.04559960368385108
2009-03-27,CAD,-0.023454310911369583
2009-04-03,CAD,0.013952895997818321
2009-04-10,CAD,-0.03715637812474024
2009-04-17,CAD,-0.010162822613909935
2009-04-24,CAD,-0.022646423170895085
2009-05-01,CAD,-0.024071443121537715
2009-05-08,CAD,-0.04226621558879388
2009-05-15,CAD,0.002257767560149515
2009-05-22,CAD,0.015966835452438488
2009-05-29,CAD,0.007526485764875632
2009-06-05,CAD,0.023213323206351902
2009-06-12,CAD,0.004201924405792243
2009-06-19,CAD,0.004941433626241059
2009-06-26,CAD,0.01016150095125419
2009-07-03,CAD,-0.014317517040939034
2009-07-10,CAD,0.004495156686777002
2009-07-17,CAD,0.017349438992803303
2009-07-24,CAD,-8.843452933441384e-4
2009-07-31,CAD,-0.005060479175520251
2009-08-07,CAD,0.0023526597619017756
2009-08-14,CAD,0.013773505975830897
2009-08-21,CAD,-0.014911897016665792
2009-08-28,CAD,-0.0021063482217043043
2009-09-04,CAD,-0.001332563886025481
2009-09-11,CAD,-3.078719087710167e-6
2009-09-18,CAD,0.021371111458867432
2009-09-25,CAD,0.007867215929621765
2009-10-02,CAD,0.014422528430217815
2009-10-09,CAD,-0.012286951299580172
2009-10-16,CAD,0.008000858672141923
2009-10-23,CAD,0.005974375147157459
2009-10-30,CAD,-0.006977764174968986
2009-11-06,CAD,-0.024796991679357484
2009-11-13,CAD,0.029758060726030724
2009-11-20,CAD,-0.009700657726075122
2009-11-27,CAD,0.01857593973860828
2009-12-04,CAD,0.028787802282489124
2009-12-11,CAD,-0.01803042290392374
2009-12-18,CAD,-0.01069995383563234
2009-12-25,CAD,-0.0385809204104709
2010-01-01,CAD,0.045849250315646434
2010-01-08,CAD,-0.03607346892895843
2010-01-15,CAD,0.026524563236786192
2010-01-22,CAD,0.007320927496987867
2010-01-29,CAD,-0.009648324518929326
2010-02-05,CAD,-0.012502846705410131
2010-02-12,CAD,-0.015583143616097162
2010-02-19,CAD,0.00532700361822973
2010-02-26,CAD,0.01055474001030251
2010-03-05,CAD,-0.003975301415786045
2010-03-12,CAD,-0.007356152776415269
2010-03-19,CAD,-0.010258142026747142
2010-03-26,CAD,0.01235681555521359
2010-04-02,CAD,0.0038834842699235488
2010-04-09,CAD,0.005794919123371843
2010-04-16,CAD,0.001892815584589517
2010-04-23,CAD,-0.02235278827670785
2010-04-30,CAD,-0.009351543514215613
2010-05-07,CAD,0.005247675624972114
2010-05-14,CAD,0.006010199625532921
2010-05-21,CAD,-0.003183851526136123
2010-05-28,CAD,-0.0023566486865764097
2010-06-04,CAD,0.011569683089635782
2010-06-11,CAD,-0.007662882684583608
2010-06-18,CAD,-0.01064976139492315
2010-06-25,CAD,-0.006825128645227412
2010-07-02,CAD,-0.006839985575076285
2010-07-09,CAD,-0.008174304262347862
2010-07-16,CAD,-0.011230315949615759
2010-07-23,CAD,-0.014767481617274317
2010-07-30,CAD,-0.010769092490536723
2010-08-06,CAD,0.014308211824316684
2010-08-13,CAD,-0.013712264084458536
2010-08-20,CAD,0.017117234759512264
2010-08-27,CAD,0.03280997912169301
2010-09-03,CAD,-0.009013675066991807
2010-09-10,CAD,-0.0343087838011483
2010-09-17,CAD,-0.0134439690464105
2010-09-24,CAD,-0.003975949613697445
2010-10-01,CAD,0.0021828177838980043
2010-10-08,CAD,-0.013334377170992517
2010-10-15,CAD,0.016762594511574504
2010-10-22,CAD,0.020939201911727684
2010-10-29,CAD,-0.009880664390519336
2010-11-05,CAD,-0.020091816349684235
2010-11-12,CAD,0.03703471037740463
2010-11-19,CAD,0.037437692805731115
2010-11-26,CAD,0.014859097521636224
2010-12-03,CAD,0.04464315044071249
2010-12-10,CAD,0.001130878853201393
2010-12-17,CAD,-0.019101830526811157
2010-12-24,CAD,-0.006615984543162709
2010-12-31,CAD,-0.025462891238212923
2011-01-07,CAD,-0.012755637654286948
2011-01-14,CAD,0.020334264473661483
2011-01-21,CAD,0.004452173109855453
2011-01-28,CAD,0.013624928716348891
2011-02-04,CAD,-0.005977375450585568
2011-02-11,CAD,-0.008973870094917779
2011-02-18,CAD,-0.010697668767727344
2011-02-25,CAD,-0.011873730942070863
2011-03-04,CAD,0.011100532405805951
2011-03-11,CAD,-0.0010962907898064988
2011-03-18,CAD,0.015301650954670365
2011-03-25,CAD,-0.021921060551093628
2011-04-01,CAD,0.02518891797537094
2011-04-08,CAD,0.002007964413450259
2011-04-15,CAD,0.02560817996932434
2011-04-22,CAD,-0.015330795107378352
2011-04-29,CAD,-0.011678524139339442
2011-05-06,CAD,0.0165407444073254
2011-05-13,CAD,-0.00720844136275609
2011-05-20,CAD,0.0023034814328504747
2011-05-27,CAD,0.007023321074079409
2011-06-03,CAD,-0.0016048647885768832
2011-06-10,CAD,0.009049720333977801
2011-06-17,CAD,-0.0028525296157253573
2011-06-24,CAD,0.027344413392033067
2011-07-01,CAD,0.0037516703132612766
2011-07-08,CAD,0.009193793491599787
2011-07-15,CAD,0.0010146644684186122
2011-07-22,CAD,0.02784990635764191
2011-07-29,CAD,-0.023302615928709892
2011-08-05,CAD,0.01999672957479952
2011-08-12,CAD,0.042279521353697384
2011-08-19,CAD,0.02737748212084193
2011-08-26,CAD,0.027155688312834457
2011-09-02,CAD,-0.003812797279681946
2011-09-09,CAD,0.026626421066752923
2011-09-16,CAD,0.009806718577337593
2011-09-23,CAD,-0.016177579699096133
2011-09-30,CAD,0.013029370598687884
2011-10-07,CAD,0.01718242446574012
2011-10-14,CAD,0.016136766294030953
2011-10-21,CAD,0.010404315520896552
2011-10-28,CAD,-0.03225963181089942
2011-11-04,CAD,0.010185771542573803
2011-11-11,CAD,0.034685497382703316
2011-11-18,CAD,-0.006829049194366445
2011-11-25,CAD,0.016530363319120736
2011-12-02,CAD,-0.03151831582590325
2011-12-09,CAD,0.028963895286413605
2011-12-16,CAD,0.013522640766428166
2011-12-23,CAD,-0.007171054658858036
2011-12-30,CAD,0.0024486287029345374
2012-01-06,CAD,-0.005460823063193218
2012-01-13,CAD,0.02229531761880704
2012-01-20,CAD,-0.011080781298420673
2012-01-27,CAD,-0.0345309522675334
2012-02-03,CAD,0.0025002843590393466
2012-02-10,CAD,-0.01113432368311959
2012-02-17,CAD,0.010711391922694335
2012-02-24,CAD,0.0016519626889720774
2012-03-02,CAD,0.011889621991663052
2012-03-09,CAD,-0.006560522015759764
2012-03-16,CAD,-0.008607887003663738
2012-03-23,CAD,0.008222547001587996
2012-03-30,CAD,-0.025928174602630645
2012-04-06,CAD,-0.0043007687698931865
2012-04-13,CAD,0.01594389562861284
2012-04-20,CAD,0.02302754982399611
2012-04-27,CAD,0.018479363708272977
2012-05-04,CAD,9.715331792915973e-4
2012-05-11,CAD,-0.01898504233523623
2012-05-18,CAD,-0.030126483063509915
2012-05-25,CAD,0.04448705777224892
2012-06-01,CAD,-0.003958141627044068
2012-06-08,CAD,0.013692032420148792
2012-06-15,CAD,0.0271368376997721
2012-06-22,CAD,-0.007877530900021775
2012-06-29,CAD,2.4004098718561284e-4
2012-07-06,CAD,0.014491887268602555
2012-07-13,CAD,-0.00993638459499886
2012-07-20,CAD,0.004187060363779815
2012-07-27,CAD,-0.01681267396150949
2012-08-03,CAD,0.013125198423018031
2012-08-10,CAD,0.007943616711527721
2012-08-17,CAD,0.008809789551634936
2012-08-24,CAD,0.003792170471241282
2012-08-31,CAD,-0.013716714879292321
2012-09-07,CAD,0.008500813670930925
2012-09-14,CAD,0.008694634866804312
2012-09-21,CAD,-0.011354842386177904
2012-09-28,CAD,0.011492302094624644
2012-10-05,CAD,0.01415968614586859
2012-10-12,CAD,-7.359969085342175e-4
2012-10-19,CAD,-0.0069946543191029805
2012-10-26,CAD,-0.020995878622562872
2012-11-02,CAD,0.002770512308336534
2012-11-09,CAD,-0.020411826751726474
2012-11-16,CAD,-0.0038223105269660426
2012-11-23,CAD,-0.010160591274784008
2012-11-30,CAD,-0.006386260178911914
2012-12-07,CAD,0.010459895393341469
2012-12-14,CAD,-0.0089525719649456
2012-12-21,CAD,0.0063378051719260985
2012-12-28,CAD,0.005851818493630942
2013-01-04,CAD,0.021359691710664732
2013-01-11,CAD,0.02313261230352579
2013-01-18,CAD,0.011497224762033019
2013-01-25,CAD,-0.0032678445705850313
2013-02-01,CAD,0.027944752216836462
2013-02-08,CAD,0.0048410753790901675
2013-02-15,CAD,0.0021013461226493876
2013-02-22,CAD,0.0016574533025626543
2013-03-01,CAD,-0.027991260903989366
2013-03-08,CAD,-0.01845188339030222
2013-03-15,CAD,0.0014913005668607134
2013-03-22,CAD,-0.005425279212113892
2013-03-29,CAD,0.0013819234252940432
2013-04-05,CAD,-0.02207291132024837
2013-04-12,CAD,-0.015008595018234936
2013-04-19,CAD,0.004587078251734752
